origin,model,block,h,native_target_prediction,projection_coefficient,projected_core_target
2019-03,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,8,,0.5518118388714258,
2019-03,CORE_AGG_MONTHLY_R13,core,9,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_R13,core,9,,0.5518118388714258,
2019-03,CORE_SPLIT_MONTHLY_R13,actual_rent,9,,0.033660201,
2019-03,CORE_SPLIT_MONTHLY_R13,imputed_rent,9,,0.10385733600000001,
2019-03,CORE_SPLIT_MONTHLY_R13,catering,9,,0.051351304,
2019-03,CORE_SPLIT_MONTHLY_R13,accommodation,9,,0.007778524,
2019-03,CORE_SPLIT_MONTHLY_R13,package_holidays,9,,0.019182249,
2019-03,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,9,,1.0,
2019-03,CORE_SPLIT_CUMULATIVE_R13,actual_rent,9,,0.033660201,
2019-03,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,9,,0.10385733600000001,
2019-03,CORE_SPLIT_CUMULATIVE_R13,catering,9,,0.051351304,
2019-03,CORE_SPLIT_CUMULATIVE_R13,accommodation,9,,0.007778524,
2019-03,CORE_SPLIT_CUMULATIVE_R13,package_holidays,9,,0.019182249,
2019-03,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,9,,1.0,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_R13,core,9,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,9,,0.5518118388714258,
2019-03,CORE_AGG_MONTHLY_R13,core,10,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_R13,core,10,,0.5518118388714258,
2019-03,CORE_SPLIT_MONTHLY_R13,actual_rent,10,,0.033660201,
2019-03,CORE_SPLIT_MONTHLY_R13,imputed_rent,10,,0.10385733600000001,
2019-03,CORE_SPLIT_MONTHLY_R13,catering,10,,0.051351304,
2019-03,CORE_SPLIT_MONTHLY_R13,accommodation,10,,0.007778524,
2019-03,CORE_SPLIT_MONTHLY_R13,package_holidays,10,,0.019182249,
2019-03,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,10,,1.0,
2019-03,CORE_SPLIT_CUMULATIVE_R13,actual_rent,10,,0.033660201,
2019-03,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,10,,0.10385733600000001,
2019-03,CORE_SPLIT_CUMULATIVE_R13,catering,10,,0.051351304,
2019-03,CORE_SPLIT_CUMULATIVE_R13,accommodation,10,,0.007778524,
2019-03,CORE_SPLIT_CUMULATIVE_R13,package_holidays,10,,0.019182249,
2019-03,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,10,,1.0,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_R13,core,10,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,10,,0.5518118388714258,
2019-03,CORE_AGG_MONTHLY_R13,core,11,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_R13,core,11,,0.5518118388714258,
2019-03,CORE_SPLIT_MONTHLY_R13,actual_rent,11,,0.033660201,
2019-03,CORE_SPLIT_MONTHLY_R13,imputed_rent,11,,0.10385733600000001,
2019-03,CORE_SPLIT_MONTHLY_R13,catering,11,,0.051351304,
2019-03,CORE_SPLIT_MONTHLY_R13,accommodation,11,,0.007778524,
2019-03,CORE_SPLIT_MONTHLY_R13,package_holidays,11,,0.019182249,
2019-03,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,11,,1.0,
2019-03,CORE_SPLIT_CUMULATIVE_R13,actual_rent,11,,0.033660201,
2019-03,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,11,,0.10385733600000001,
2019-03,CORE_SPLIT_CUMULATIVE_R13,catering,11,,0.051351304,
2019-03,CORE_SPLIT_CUMULATIVE_R13,accommodation,11,,0.007778524,
2019-03,CORE_SPLIT_CUMULATIVE_R13,package_holidays,11,,0.019182249,
2019-03,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,11,,1.0,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_R13,core,11,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,11,,0.5518118388714258,
2019-03,CORE_AGG_MONTHLY_R13,core,12,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_R13,core,12,,0.5518118388714258,
2019-03,CORE_SPLIT_MONTHLY_R13,actual_rent,12,,0.033660201,
2019-03,CORE_SPLIT_MONTHLY_R13,imputed_rent,12,,0.10385733600000001,
2019-03,CORE_SPLIT_MONTHLY_R13,catering,12,,0.051351304,
2019-03,CORE_SPLIT_MONTHLY_R13,accommodation,12,,0.007778524,
2019-03,CORE_SPLIT_MONTHLY_R13,package_holidays,12,,0.019182249,
2019-03,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,12,,1.0,
2019-03,CORE_SPLIT_CUMULATIVE_R13,actual_rent,12,,0.033660201,
2019-03,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,12,,0.10385733600000001,
2019-03,CORE_SPLIT_CUMULATIVE_R13,catering,12,,0.051351304,
2019-03,CORE_SPLIT_CUMULATIVE_R13,accommodation,12,,0.007778524,
2019-03,CORE_SPLIT_CUMULATIVE_R13,package_holidays,12,,0.019182249,
2019-03,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,12,,1.0,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_R13,core,12,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,12,,0.5518118388714258,
2019-04,CORE_AGG_MONTHLY_R13,core,1,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,1,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,1,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,1,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,1,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,1,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,1,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,1,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,1,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,1,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,1,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,1,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,1,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,1,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,1,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,1,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,2,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,2,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,2,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,2,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,2,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,2,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,2,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,2,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,2,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,2,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,2,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,2,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,2,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,2,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,2,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,2,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,3,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,3,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,3,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,3,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,3,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,3,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,3,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,3,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,3,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,3,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,3,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,3,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,3,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,3,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,3,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,3,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,4,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,4,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,4,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,4,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,4,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,4,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,4,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,4,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,4,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,4,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,4,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,4,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,4,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,4,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,4,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,4,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,5,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,5,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,5,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,5,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,5,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,5,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,5,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,5,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,5,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,5,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,5,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,5,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,5,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,5,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,5,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,5,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,6,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,6,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,6,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,6,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,6,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,6,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,6,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,6,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,6,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,6,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,6,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,6,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,6,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,6,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,6,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,6,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,7,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,7,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,7,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,7,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,7,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,7,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,7,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,7,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,7,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,7,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,7,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,7,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,7,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,7,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,7,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,7,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,8,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,8,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,8,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,8,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,8,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,8,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,8,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,8,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,8,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,8,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,8,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,8,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,8,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,8,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,8,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,8,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,9,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,9,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,9,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,9,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,9,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,9,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,9,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,9,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,9,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,9,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,9,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,9,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,9,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,9,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,9,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,9,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,10,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,10,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,10,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,10,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,10,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,10,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,10,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,10,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,10,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,10,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,10,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,10,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,10,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,10,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,10,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,10,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,11,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,11,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,11,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,11,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,11,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,11,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,11,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,11,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,11,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,11,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,11,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,11,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,11,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,11,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,11,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,11,,0.5506152285898372,
2019-04,CORE_AGG_MONTHLY_R13,core,12,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_R13,core,12,,0.5506152285898372,
2019-04,CORE_SPLIT_MONTHLY_R13,actual_rent,12,,0.033660201,
2019-04,CORE_SPLIT_MONTHLY_R13,imputed_rent,12,,0.10385733600000001,
2019-04,CORE_SPLIT_MONTHLY_R13,catering,12,,0.051351304,
2019-04,CORE_SPLIT_MONTHLY_R13,accommodation,12,,0.007778524,
2019-04,CORE_SPLIT_MONTHLY_R13,package_holidays,12,,0.019182249,
2019-04,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,12,,1.0,
2019-04,CORE_SPLIT_CUMULATIVE_R13,actual_rent,12,,0.033660201,
2019-04,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,12,,0.10385733600000001,
2019-04,CORE_SPLIT_CUMULATIVE_R13,catering,12,,0.051351304,
2019-04,CORE_SPLIT_CUMULATIVE_R13,accommodation,12,,0.007778524,
2019-04,CORE_SPLIT_CUMULATIVE_R13,package_holidays,12,,0.019182249,
2019-04,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,12,,1.0,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_R13,core,12,,0.5506152285898372,
2019-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,12,,0.5506152285898372,
2019-05,CORE_AGG_MONTHLY_R13,core,1,,0.5509025905852826,
2019-05,CORE_AGG_CUMULATIVE_R13,core,1,,0.5509025905852826,
2019-05,CORE_SPLIT_MONTHLY_R13,actual_rent,1,,0.033660201,
2019-05,CORE_SPLIT_MONTHLY_R13,imputed_rent,1,,0.10385733600000001,
2019-05,CORE_SPLIT_MONTHLY_R13,catering,1,,0.051351304,
2019-05,CORE_SPLIT_MONTHLY_R13,accommodation,1,,0.007778524,
2019-05,CORE_SPLIT_MONTHLY_R13,package_holidays,1,,0.019182249,
2019-05,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,1,,1.0,
2019-05,CORE_SPLIT_CUMULATIVE_R13,actual_rent,1,,0.033660201,
2019-05,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,1,,0.10385733600000001,
2019-05,CORE_SPLIT_CUMULATIVE_R13,catering,1,,0.051351304,
2019-05,CORE_SPLIT_CUMULATIVE_R13,accommodation,1,,0.007778524,
2019-05,CORE_SPLIT_CUMULATIVE_R13,package_holidays,1,,0.019182249,
2019-05,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,1,,1.0,
2019-05,CORE_AGG_CUMULATIVE_LABOUR_R13,core,1,,0.5509025905852826,
2019-05,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,1,,0.5509025905852826,
2019-05,CORE_AGG_MONTHLY_R13,core,2,,0.5509025905852826,
2019-05,CORE_AGG_CUMULATIVE_R13,core,2,,0.5509025905852826,
2019-05,CORE_SPLIT_MONTHLY_R13,actual_rent,2,,0.033660201,
2019-05,CORE_SPLIT_MONTHLY_R13,imputed_rent,2,,0.10385733600000001,
2019-05,CORE_SPLIT_MONTHLY_R13,catering,2,,0.051351304,
2019-05,CORE_SPLIT_MONTHLY_R13,accommodation,2,,0.007778524,
2019-05,CORE_SPLIT_MONTHLY_R13,package_holidays,2,,0.019182249,
2019-05,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,2,,1.0,
2019-05,CORE_SPLIT_CUMULATIVE_R13,actual_rent,2,,0.033660201,
2019-05,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,2,,0.10385733600000001,
2019-05,CORE_SPLIT_CUMULATIVE_R13,catering,2,,0.051351304,
2019-05,CORE_SPLIT_CUMULATIVE_R13,accommodation,2,,0.007778524,
2019-05,CORE_SPLIT_CUMULATIVE_R13,package_holidays,2,,0.019182249,
2019-05,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,2,,1.0,
2019-05,CORE_AGG_CUMULATIVE_LABOUR_R13,core,2,,0.5509025905852826,
2019-05,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,2,,0.5509025905852826,
2019-05,CORE_AGG_MONTHLY_R13,core,3,,0.5509025905852826,
2019-05,CORE_AGG_CUMULATIVE_R13,core,3,,0.5509025905852826,
2019-05,CORE_SPLIT_MONTHLY_R13,actual_rent,3,,0.033660201,
2019-05,CORE_SPLIT_MONTHLY_R13,imputed_rent,3,,0.10385733600000001,
2019-05,CORE_SPLIT_MONTHLY_R13,catering,3,,0.051351304,
2019-05,CORE_SPLIT_MONTHLY_R13,accommodation,3,,0.007778524,
2019-05,CORE_SPLIT_MONTHLY_R13,package_holidays,3,,0.019182249,
2019-05,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,3,,1.0,
2019-05,CORE_SPLIT_CUMULATIVE_R13,actual_rent,3,,0.033660201,
2019-05,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,3,,0.10385733600000001,
2019-05,CORE_SPLIT_CUMULATIVE_R13,catering,3,,0.051351304,
2019-05,CORE_SPLIT_CUMULATIVE_R13,accommodation,3,,0.007778524,
2019-05,CORE_SPLIT_CUMULATIVE_R13,package_holidays,3,,0.019182249,
2019-05,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,3,,1.0,
2019-05,CORE_AGG_CUMULATIVE_LABOUR_R13,core,3,,0.5509025905852826,
2019-05,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,3,,0.5509025905852826,
2019-05,CORE_AGG_MONTHLY_R13,core,4,,0.5509025905852826,
2019-05,CORE_AGG_CUMULATIVE_R13,core,4,,0.5509025905852826,
2019-05,CORE_SPLIT_MONTHLY_R13,actual_rent,4,,0.033660201,
2019-05,CORE_SPLIT_MONTHLY_R13,imputed_rent,4,,0.10385733600000001,
2019-05,CORE_SPLIT_MONTHLY_R13,catering,4,,0.051351304,
2019-05,CORE_SPLIT_MONTHLY_R13,accommodation,4,,0.007778524,
2019-05,CORE_SPLIT_MONTHLY_R13,package_holidays,4,,0.019182249,
2019-05,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,4,,1.0,
2019-05,CORE_SPLIT_CUMULATIVE_R13,actual_rent,4,,0.033660201,
2019-05,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,4,,0.10385733600000001,
2019-05,CORE_SPLIT_CUMULATIVE_R13,catering,4,,0.051351304,
2019-05,CORE_SPLIT_CUMULATIVE_R13,accommodation,4,,0.007778524,
2019-05,CORE_SPLIT_CUMULATIVE_R13,package_holidays,4,,0.019182249,
2019-05,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,4,,1.0,
2019-05,CORE_AGG_CUMULATIVE_LABOUR_R13,core,4,,0.5509025905852826,
2019-05,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,4,,0.5509025905852826,
