origin,core_acceleration,family,band,services_projection,goods_projection
2014-06,0.04679706111745721,services,2,0.01003564505524635,
2014-07,0.07926060278709263,services,2,0.004936674037407962,
2014-08,0.0011355973517482298,services,2,0.0032257526108296405,
2014-09,0.022539528435792933,services,2,-0.0050212145918245915,
2014-10,-0.05297966365693435,services,2,0.010137383132595932,
2014-11,0.018573975029041706,services,2,0.009793552402347227,
2014-12,0.010137254505156928,services,2,0.0017112532109939892,
2015-01,0.05463173604340252,services,2,-0.002813823111227015,
2015-02,0.05737947716924505,services,2,-0.010142324066901942,
2015-03,0.053785606881321224,services,2,-0.0040079708954136,
2015-04,-0.045011179043335604,services,2,-0.004050316451188605,
2015-05,-0.04381790374126475,services,2,0.004592967556873233,
2015-06,-0.030471190407261345,services,2,0.04308772503637288,
2015-07,0.0632040130704818,services,2,0.024883947394343752,
2015-08,0.0170096209123608,services,2,0.009418779269082588,
2015-09,-0.008357456309033826,services,2,0.018205855630702983,
2015-10,-0.0156504693643474,services,2,0.01297925410828047,
2015-11,0.03246259468554544,services,2,0.015267717429026932,
2015-12,0.032660972951976314,services,2,-0.006236540941857452,
2016-01,0.07974529527116854,services,2,0.0006714020898466672,
2016-02,0.01574972324425017,services,2,0.009233400016398356,
2016-03,0.011991006330225457,services,2,0.026899176199132655,
2016-04,-0.09832047755438518,services,2,0.030298443401331906,
2016-05,-0.08300559532843116,services,2,0.022585135606932413,
2016-06,-0.056693517194811735,services,2,-0.01167565858104011,
2016-07,-0.056117058324926555,services,2,-0.020773112915549848,
2016-08,-0.008739156602148676,services,2,-0.00549081208496795,
2016-09,-0.053922898242421885,services,2,0.013298949331110992,
2016-10,0.006413677280076108,services,2,0.018667614204692762,
2016-11,0.07163127661108917,services,2,0.0002608850276298043,
2016-12,0.12471562147419313,services,2,0.002145996766403464,
2017-01,0.22082542281941253,services,2,-0.0022372554514475994,
2017-02,0.18107419042803866,services,2,-0.009870216243204909,
2017-03,0.19448712674888124,services,2,-0.017423656883582297,
2017-04,0.0669700421156455,services,2,-0.015582896082761385,
2017-05,-0.008301876717519141,services,2,-0.02937346167128428,
2017-06,-0.04448174871700705,services,2,-0.014849410890152326,
2017-07,-0.06655408220333425,services,2,-0.03725378839241692,
2017-08,-0.05440627694638764,services,2,-0.041373919845997996,
2017-09,-0.10301664785661367,services,2,-0.058441825118156064,
2017-10,-0.05680158220451456,services,2,-0.07563772301851651,
2017-11,-0.03669643939371342,services,2,-0.06258922956994491,
2017-12,-0.005094038409726387,services,2,-0.05665249937751315,
2018-01,-0.04630716929202662,services,2,-0.020660045807898545,
2018-02,-0.08333162874754471,services,2,-0.032551803473771825,
2018-03,-0.020676189494091113,services,2,-0.026080104028363162,
2018-04,0.04266984645269917,services,2,-0.022978499429617563,
2018-05,0.08689340043827737,services,2,-0.013923825996536828,
2018-06,0.06732067846110559,services,2,-0.0013469654158717159,
2018-07,0.044434735022261806,services,2,-0.014129076993449627,
2018-08,0.15435957094868877,services,2,-0.012142160584824131,
2018-09,0.12893485718821007,services,2,-0.030788220598010868,
2018-10,0.05556400160076075,services,2,-0.02796147170010918,
2018-11,-0.07691313266632088,services,2,-0.06810792069187767,
2018-12,-0.07572858009490893,services,2,-0.06543946617486614,
2019-01,-0.0027999372663727873,services,2,-0.06609541042210919,
2019-02,0.02466317424122494,services,2,-0.0823189568375321,
2019-03,0.004837194979398607,services,2,-0.08876359729494444,
2010-10,0.014986790595872851,goods,2,,0.021864699563987473
2010-11,0.07012491537706567,goods,2,,0.03476807012778574
2010-12,0.099485034776073,goods,2,,0.05081306198552132
2011-01,0.07704977168218995,goods,2,,0.04415175420755393
2011-02,0.0013353437926719725,goods,2,,0.016317694132471763
2011-03,-0.06503456362478144,goods,2,,-0.00021954339356664864
2011-04,-0.06985535060429211,goods,2,,-0.005259241389828733
2011-05,-0.03553843925773509,goods,2,,-0.0010230211024816664
2011-06,0.012222757992244898,goods,2,,0.010083365926592834
2011-07,0.028835592174351415,goods,2,,-0.003519988490190617
2011-08,0.0028661642277841848,goods,2,,-0.008420002329448145
2011-09,0.008741928001254583,goods,2,,-0.01964125781443432
2011-10,0.036737482538566596,goods,2,,-0.024004796857090848
2011-11,0.10280464262656956,goods,2,,-0.039285413697650144
2011-12,0.13804085221051313,goods,2,,-0.03066541503692516
2012-01,0.09652343076300218,goods,2,,-0.01120483705478189
2012-02,0.015676784330355225,goods,2,,-0.011149417976139003
2012-03,-0.021374775183405026,goods,2,,-0.02923659802700577
2012-04,-0.04527306307374675,goods,2,,-0.029355572731384557
2012-05,-0.01853807647728798,goods,2,,-0.0446916589442517
2012-06,-0.02101778378390163,goods,2,,-0.03709795667975734
2012-07,0.0184349774467528,goods,2,,-0.022588072253396926
2012-08,-0.06408391603182348,goods,2,,-0.020219761355699434
2012-09,-0.10849077902783472,goods,2,,-0.018948357842246154
2012-10,-0.0824689768007342,goods,2,,-0.016737221497656506
2012-11,0.020831791837620496,goods,2,,-0.007609041340508857
2012-12,0.04052587732714671,goods,2,,-0.009600149601256054
2013-01,-0.01537435582276215,goods,2,,-0.008353297466679973
2013-02,-0.026097122564099344,goods,2,,0.0009075580671529019
2013-03,0.03308812897863598,goods,2,,-0.015277572982444166
2013-04,0.035767962153772814,goods,2,,-0.016094270906011524
2013-05,0.016608937516510585,goods,2,,-0.034302374875439814
2013-06,-0.06962670282389297,goods,2,,-0.029320107058305424
2013-07,-0.05865231418517712,goods,2,,-0.0804880650014092
2013-08,-0.09280586041242743,goods,2,,-0.08072349958745846
2013-09,-0.05214854688237168,goods,2,,-0.07524935277415733
2013-10,-0.02305554929584741,goods,2,,-0.06062315313651653
2013-11,0.07039133601197023,goods,2,,-0.09928482271650486
2013-12,0.09513164748015118,goods,2,,-0.018728363616420083
2014-01,0.11390564534823866,goods,2,,-0.019910293671158073
2014-02,0.05851531662645733,goods,2,,-0.03633381577292834
2014-03,0.08843069369475806,goods,2,,-0.009476884492517958
2014-04,0.07723644793753562,goods,2,,-0.009779144503587111
2014-05,0.09738083178267477,goods,2,,-0.007213365423298353
2014-06,0.04679706111745721,goods,2,,-0.008172646754377878
2014-07,0.07926060278709263,goods,2,,-0.008578815695342941
2014-08,0.0011355973517482298,goods,2,,-0.007535259051045702
2014-09,0.022539528435792933,goods,2,,-0.006824893297238523
2014-10,-0.05297966365693435,goods,2,,-0.007568931965387985
2014-11,0.018573975029041706,goods,2,,-0.0055096186291199245
2014-12,0.010137254505156928,goods,2,,-0.007289900732237162
2015-01,0.05463173604340252,goods,2,,-0.007348015926867474
2015-02,0.05737947716924505,goods,2,,-0.005287639757283135
2015-03,0.053785606881321224,goods,2,,-0.004875162036568018
2015-04,-0.045011179043335604,goods,2,,-0.0034108263906814807
2015-05,-0.04381790374126475,goods,2,,-0.0034778445630670595
2015-06,-0.030471190407261345,goods,2,,-0.003246408763240337
2015-07,0.0632040130704818,goods,2,,-0.0023360349310087574
2015-08,0.0170096209123608,goods,2,,-0.003948900419089892
2015-09,-0.008357456309033826,goods,2,,-0.003095612097229944
2015-10,-0.0156504693643474,goods,2,,-0.0029048891050927283
2015-11,0.03246259468554544,goods,2,,-0.002811928078915412
2015-12,0.032660972951976314,goods,2,,-0.0024847762053629902
2016-01,0.07974529527116854,goods,2,,-0.002451647692888868
2016-02,0.01574972324425017,goods,2,,-0.0010192606007561166
2016-03,0.011991006330225457,goods,2,,-0.0004478798972556829
2016-04,-0.09832047755438518,goods,2,,-9.894205593598061e-05
2016-05,-0.08300559532843116,goods,2,,0.00019394141998823215
2016-06,-0.056693517194811735,goods,2,,0.00018954217010145764
2016-07,-0.056117058324926555,goods,2,,0.0002491266945544179
2016-08,-0.008739156602148676,goods,2,,4.1202866931735814e-05
2016-09,-0.053922898242421885,goods,2,,9.666802105211002e-05
2016-10,0.006413677280076108,goods,2,,0.00043970483019646666
2016-11,0.07163127661108917,goods,2,,0.0011506792006345326
