period,as_of_utc,policy_id,event,effective_month,transition_this_month,source_available_utc,treatment_confirmed_utc,source_visible,treatment_visible,bill_available_utc,exposure_available_utc,embedded_baseline_available_utc,weight_available_utc,weight_visible,strict_eligible,missing_inputs,interpretation
2019-10,2019-11-10T22:59:00+00:00,eru_tariffs_2026,start,2026-01,False,2025-11-28T23:59:59+00:00,2026-02-06T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-10,2019-11-10T22:59:00+00:00,unknown_supplier_repricing_2022-09,unmapped,2022-09,False,,,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-10,2019-11-10T22:59:00+00:00,unknown_supplier_repricing_2022-11,unmapped,2022-11,False,,,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,vat_waiver_2021,start,2021-11,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,vat_waiver_2021,expiry,2022-01,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,supplier_repricing_2022,start,2022-01,False,2021-11-01T23:59:59+00:00,2022-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,saving_tariff,start,2022-10,False,2022-08-24T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,saving_tariff,expiry,2023-01,False,2022-08-24T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,poze_waiver,start,2022-10,False,2022-09-09T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,poze_waiver,extension,2023-01,False,2022-11-14T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;extension_must_preserve_original_start_and_supersede_only_supported_expiry,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,poze_waiver,expiry,2024-01,False,2023-11-30T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,price_caps_2023,start,2023-01,False,2022-10-05T23:59:59+00:00,2023-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,price_caps_2023,expiry,2024-01,False,2023-11-30T23:59:59+00:00,2024-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,eru_tariffs_2024,start,2024-01,False,2023-11-30T23:59:59+00:00,2024-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,eru_tariffs_2025,start,2025-01,False,2024-11-29T23:59:59+00:00,2025-02-06T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,eru_tariffs_2026,start,2026-01,False,2025-11-28T23:59:59+00:00,2026-02-06T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,unknown_supplier_repricing_2022-09,unmapped,2022-09,False,,,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-11,2019-12-09T22:59:00+00:00,unknown_supplier_repricing_2022-11,unmapped,2022-11,False,,,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,vat_waiver_2021,start,2021-11,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,vat_waiver_2021,expiry,2022-01,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,supplier_repricing_2022,start,2022-01,False,2021-11-01T23:59:59+00:00,2022-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,saving_tariff,start,2022-10,False,2022-08-24T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,saving_tariff,expiry,2023-01,False,2022-08-24T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,poze_waiver,start,2022-10,False,2022-09-09T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,poze_waiver,extension,2023-01,False,2022-11-14T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;extension_must_preserve_original_start_and_supersede_only_supported_expiry,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,poze_waiver,expiry,2024-01,False,2023-11-30T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,price_caps_2023,start,2023-01,False,2022-10-05T23:59:59+00:00,2023-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,price_caps_2023,expiry,2024-01,False,2023-11-30T23:59:59+00:00,2024-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,eru_tariffs_2024,start,2024-01,False,2023-11-30T23:59:59+00:00,2024-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,eru_tariffs_2025,start,2025-01,False,2024-11-29T23:59:59+00:00,2025-02-06T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,eru_tariffs_2026,start,2026-01,False,2025-11-28T23:59:59+00:00,2026-02-06T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,unknown_supplier_repricing_2022-09,unmapped,2022-09,False,,,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2019-12,2020-01-12T22:59:00+00:00,unknown_supplier_repricing_2022-11,unmapped,2022-11,False,,,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,vat_waiver_2021,start,2021-11,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,vat_waiver_2021,expiry,2022-01,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,supplier_repricing_2022,start,2022-01,False,2021-11-01T23:59:59+00:00,2022-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,saving_tariff,start,2022-10,False,2022-08-24T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,saving_tariff,expiry,2023-01,False,2022-08-24T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,poze_waiver,start,2022-10,False,2022-09-09T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,poze_waiver,extension,2023-01,False,2022-11-14T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;extension_must_preserve_original_start_and_supersede_only_supported_expiry,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,poze_waiver,expiry,2024-01,False,2023-11-30T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,price_caps_2023,start,2023-01,False,2022-10-05T23:59:59+00:00,2023-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,price_caps_2023,expiry,2024-01,False,2023-11-30T23:59:59+00:00,2024-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,eru_tariffs_2024,start,2024-01,False,2023-11-30T23:59:59+00:00,2024-02-10T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,eru_tariffs_2025,start,2025-01,False,2024-11-29T23:59:59+00:00,2025-02-06T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,eru_tariffs_2026,start,2026-01,False,2025-11-28T23:59:59+00:00,2026-02-06T23:59:59+00:00,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,unknown_supplier_repricing_2022-09,unmapped,2022-09,False,,,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-01,2020-02-13T22:59:00+00:00,unknown_supplier_repricing_2022-11,unmapped,2022-11,False,,,False,False,,,,2018-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,vat_waiver_2021,start,2021-11,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,vat_waiver_2021,expiry,2022-01,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,supplier_repricing_2022,start,2022-01,False,2021-11-01T23:59:59+00:00,2022-02-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,saving_tariff,start,2022-10,False,2022-08-24T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,saving_tariff,expiry,2023-01,False,2022-08-24T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,poze_waiver,start,2022-10,False,2022-09-09T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,poze_waiver,extension,2023-01,False,2022-11-14T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;extension_must_preserve_original_start_and_supersede_only_supported_expiry,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,poze_waiver,expiry,2024-01,False,2023-11-30T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,price_caps_2023,start,2023-01,False,2022-10-05T23:59:59+00:00,2023-02-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,price_caps_2023,expiry,2024-01,False,2023-11-30T23:59:59+00:00,2024-02-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,eru_tariffs_2024,start,2024-01,False,2023-11-30T23:59:59+00:00,2024-02-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,eru_tariffs_2025,start,2025-01,False,2024-11-29T23:59:59+00:00,2025-02-06T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,eru_tariffs_2026,start,2026-01,False,2025-11-28T23:59:59+00:00,2026-02-06T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,unknown_supplier_repricing_2022-09,unmapped,2022-09,False,,,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-02,2020-03-09T22:59:00+00:00,unknown_supplier_repricing_2022-11,unmapped,2022-11,False,,,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,vat_waiver_2021,start,2021-11,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,vat_waiver_2021,expiry,2022-01,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,supplier_repricing_2022,start,2022-01,False,2021-11-01T23:59:59+00:00,2022-02-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,saving_tariff,start,2022-10,False,2022-08-24T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,saving_tariff,expiry,2023-01,False,2022-08-24T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,poze_waiver,start,2022-10,False,2022-09-09T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,poze_waiver,extension,2023-01,False,2022-11-14T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;extension_must_preserve_original_start_and_supersede_only_supported_expiry,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,poze_waiver,expiry,2024-01,False,2023-11-30T23:59:59+00:00,2022-11-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,price_caps_2023,start,2023-01,False,2022-10-05T23:59:59+00:00,2023-02-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,price_caps_2023,expiry,2024-01,False,2023-11-30T23:59:59+00:00,2024-02-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,eru_tariffs_2024,start,2024-01,False,2023-11-30T23:59:59+00:00,2024-02-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,eru_tariffs_2025,start,2025-01,False,2024-11-29T23:59:59+00:00,2025-02-06T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,eru_tariffs_2026,start,2026-01,False,2025-11-28T23:59:59+00:00,2026-02-06T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,unknown_supplier_repricing_2022-09,unmapped,2022-09,False,,,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-03,2020-04-13T21:59:00+00:00,unknown_supplier_repricing_2022-11,unmapped,2022-11,False,,,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-04,2020-05-12T21:59:00+00:00,vat_waiver_2021,start,2021-11,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
2020-04,2020-05-12T21:59:00+00:00,vat_waiver_2021,expiry,2022-01,False,2021-10-20T23:59:59+00:00,2021-12-10T23:59:59+00:00,False,False,,,,2020-02-14T23:59:59+00:00,True,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,Source-clock audit only; no complete monetary/exposure/baseline payload.
